outcome,repr,learner,mean,sd,vs_late
composite_30d,spca,gb,0.8178898964563638,0.004665088910779698,-0.024375522541642547
composite_30d,spca,rf,0.8283085728985787,0.0034534056277815564,-0.0139568460994276
composite_30d,spca,catboost,0.8297684738568396,0.0020127299655834565,-0.012496945141166727
composite_30d,lol8,l2,0.841535146954788,0.005102168623220247,-0.0007302720432182941
composite_30d,lol8,plain,0.8412238729178725,0.005397918200696198,-0.0010415460801338483
composite_30d,lol8,ridge_var,0.841535146954788,0.005102168623220247,-0.0007302720432182941
composite_30d,lol8,gb,0.8389028233326903,0.00560913640977288,-0.0033625956653160483
composite_30d,lol8,rf,0.840969194160396,0.0025922220335898366,-0.0012962248376103824
composite_30d,lol8,catboost,0.8387285355971444,0.004725109033283194,-0.00353688340086189
composite_30d,cca,l2,0.8445449868158723,0.003670933711453498,0.0022795678178659795
composite_30d,cca,plain,0.8474699337577979,0.003173683113111684,0.005204514759791556
composite_30d,cca,ridge_var,0.8445449868158723,0.003670933711453498,0.0022795678178659795
composite_30d,cca,gb,0.8389369091259887,0.002762366157557376,-0.0033285098720176043
composite_30d,cca,rf,0.8453058074474242,0.004126300299707956,0.0030403884494178968
composite_30d,cca,catboost,0.8445803588655219,0.0028084261269385323,0.0023149398675155197
composite_30d,cca_aug,l2,0.836486590777542,0.004100727416252159,-0.005778828220464383
composite_30d,cca_aug,plain,0.8240427037108494,0.007687594452042116,-0.01822271528715691
composite_30d,cca_aug,ridge_var,0.836486590777542,0.004100727416252159,-0.005778828220464383
composite_30d,cca_aug,gb,0.8532407228760691,0.007115761851215809,0.010975303878062781
composite_30d,cca_aug,rf,0.8567245482024568,0.0031793057777721265,0.014459129204450472
composite_30d,cca_aug,catboost,0.8530985915492957,0.004470085272926579,0.01083317255128935
cv_first,late,l2,0.8073591549295775,0.011478773699989401,0.0
cv_first,coop_r0.0,l2,0.7135730170496665,0.03128064759624707,-0.09378613787991108
cv_first,coop_r0.5,l2,0.717133061527057,0.02908117842188233,-0.09022609340252052
cv_first,coop_r1.0,l2,0.7408747220163084,0.03181688300076657,-0.06648443291326911
cv_first,coop_r2.0,l2,0.7724981467753893,0.022632843671054986,-0.034861008154188244
cv_first,coop_r5.0,l2,0.792583395107487,0.017651158903657118,-0.014775759822090562
