outcome,threshold,nb_model,nb_treat_all,nb_treat_none,prevalence
cv_first,0.06999999999999999,0.018984652392167036,-0.020533097105488687,0.0,0.050904219691895514
cv_first,0.08,0.01732723725210402,-0.03162584816098314,0.0,0.050904219691895514
cv_first,0.09,0.01417604498649375,-0.042962395942971965,0.0,0.050904219691895514
cv_first,0.09999999999999999,0.012949319044429562,-0.05455086700900498,0.0,0.050904219691895514
cv_first,0.11,0.01131873838211278,-0.06639975315517357,0.0,0.050904219691895514
cv_first,0.12,0.009103087133897583,-0.07851793216830055,0.0,0.050904219691895514
cv_first,0.13,0.007629473943537274,-0.09091469000931551,0.0,0.050904219691895514
cv_first,0.14,0.006059284412529788,-0.10359974454430756,0.0,0.050904219691895514
cv_first,0.15000000000000002,0.005318939364091245,-0.11658327095071119,0.0,0.050904219691895514
cv_first,0.16,0.003795490064746594,-0.12987592893821964,0.0,0.050904219691895514
cv_first,0.17,0.0007424204520694935,-0.1434888919374753,0.0,0.050904219691895514
cv_first,0.18000000000000002,8.168199565451728e-05,-0.1574338784245177,0.0,0.050904219691895514
cv_first,0.19,-0.0015793869332605664,-0.17172318556556107,0.0,0.050904219691895514
cv_first,0.2,-0.0008372404554588073,-0.1863697253851306,0.0,0.050904219691895514
cv_first,0.21000000000000002,-0.00037304891179936947,-0.20138706368114495,0.0,0.050904219691895514
cv_first,0.22,-0.0002747866110223776,-0.21678946193346726,0.0,0.050904219691895514
cv_first,0.23,-0.0002348622576351985,-0.23259192247805777,0.0,0.050904219691895514
cv_first,0.24000000000000002,-0.0007402968237741041,-0.24881023724750595,0.0,0.050904219691895514
cv_first,0.25,-0.0008930564858227281,-0.265461040410806,0.0,0.050904219691895514
cv_first,0.26,-5.4307489002734105e-05,-0.2825618652812223,0.0,0.050904219691895514
cv_first,0.27,-0.0006147409371587958,-0.30013120590151304,0.0,0.050904219691895514
cv_first,0.28,-0.0008558457989134485,-0.3181885837612563,0.0,0.050904219691895514
cv_first,0.29000000000000004,-0.00045281737309321507,-0.3367546201522599,0.0,0.050904219691895514
cv_first,0.3,0.00028705387044301975,-0.35585111472586356,0.0,0.050904219691895514
cv_first,0.31,0.0011066134715629456,-0.3755011308813109,0.0,0.050904219691895514
