outcome,test,mode,learner,reg,k,mean,sd,lo,hi,vs_late,sig
death_30d,grid,ccaaug,rf,0.5,10.0,0.8982214278129756,0.0028126821516806805,0.8938962234099034,0.9017537960570559,0.01606643542278685,
death_30d,grid,ccaaug,rf,0.01,20.0,0.8969383782253212,0.0020742451243197266,0.893838707393905,0.8991036350122111,0.01478338583513239,
death_30d,grid,ccaaug,rf,0.1,20.0,0.8963818001628144,0.0017743696313484434,0.8942944112129685,0.8982984107882348,0.014226807772625638,
death_30d,grid,ccaaug,rf,0.5,20.0,0.8971595936714685,0.0024705271301567354,0.8952412133224791,0.9005415354121686,0.015004601281279673,
composite_30d,ref,late,l2,,,0.8448975818380603,0.004480362065355902,0.8363930156280146,0.8532043861341565,0.0,
composite_30d,ablation,raw,rf,0.1,10.0,0.8479966557334876,0.0021405704391889067,0.8450479130490706,0.8512701781465046,0.0030990738954272956,
composite_30d,ablation,raw,gb,0.1,10.0,0.854782140330568,0.004369605568986298,0.8453726927776707,0.8620875940574957,0.009884558492507689,
composite_30d,ablation,raw,catboost,0.1,10.0,0.8522242587947778,0.005256655712062573,0.8444047848736252,0.8624959804489034,0.007326676956717515,
composite_30d,ablation,raw,l2,0.1,10.0,0.8428297639719597,0.006532612901801314,0.8310727377966428,0.8507203035564989,-0.002067817866100552,
composite_30d,ablation,cca,rf,0.1,10.0,0.8441655411923596,0.003921213014727057,0.8382886359251398,0.8508939481638691,-0.000732040645700649,
composite_30d,ablation,cca,gb,0.1,10.0,0.8386831950607757,0.0040902572894081154,0.8332207859026304,0.846228053251013,-0.006214386777284586,
composite_30d,ablation,cca,catboost,0.1,10.0,0.8429526014534696,0.006249215107807505,0.8272943597659013,0.8484564923789311,-0.0019449803845906777,
composite_30d,ablation,cca,l2,0.1,10.0,0.8432529423114028,0.004987741947756515,0.8339764615087788,0.8498360023152615,-0.0016446395266574987,
composite_30d,ablation,ccaaug,rf,0.1,10.0,0.8566219692584731,0.002953857849647108,0.8530741526786287,0.8614380346002958,0.011724387420412818,
composite_30d,ablation,ccaaug,gb,0.1,10.0,0.8527143224644671,0.005130114139096218,0.8465110296482089,0.8647372821403305,0.007816740626406804,
composite_30d,ablation,ccaaug,catboost,0.1,10.0,0.8517772847128432,0.00407357498298573,0.8451636761206509,0.8602546787574763,0.0068797028747829,
composite_30d,ablation,ccaaug,l2,0.1,10.0,0.8363570004501897,0.0051865902865140595,0.8283619525371406,0.8457424914785516,-0.008540581387870616,
composite_30d,ablation,ccaaug_shuf,rf,0.1,10.0,0.8465840246961218,0.002137185798524653,0.8434818959418612,0.8499389028233326,0.001686442858061521,
composite_30d,ablation,ccaaug_shuf,gb,0.1,10.0,0.8525172036786932,0.005183935534733011,0.842513988037816,0.8576853816965722,0.0076196218406329175,
