outcome,test,mtry,k,leaf,depth,prod,mean,sd,vs_late,lo,hi,brier,slope,intercept
death_30d_inhosp,leaf_depth,0.1,5.0,10.0,6.0,0,0.9105599777000031,0.006341753065487067,0.03877799114194558,,,,,
death_30d_inhosp,leaf_depth,0.1,5.0,10.0,8.0,0,0.9115929011676526,0.006687508552061026,0.03981091460959507,,,,,
death_30d_inhosp,leaf_depth,0.1,5.0,10.0,12.0,0,0.9114442345216341,0.006426547236786535,0.03966224796357665,,,,,
death_30d_inhosp,leaf_depth,0.1,5.0,10.0,-1.0,0,0.9114210053581937,0.0063053200241448525,0.039639018800136205,,,,,
death_30d_inhosp,leaf_depth,0.1,5.0,25.0,4.0,0,0.9061417908136402,0.005698305760469629,0.034359804255582715,,,,,
death_30d_inhosp,leaf_depth,0.1,5.0,25.0,6.0,0,0.9077740266980519,0.006061625855859281,0.03599204013999435,,,,,
death_30d_inhosp,leaf_depth,0.1,5.0,25.0,8.0,0,0.9081565335893703,0.005984050221594515,0.03637454703131282,,,,,
death_30d_inhosp,leaf_depth,0.1,5.0,25.0,12.0,0,0.9082386099668597,0.005813039555620615,0.03645662340880218,,,,,
death_30d_inhosp,leaf_depth,0.1,5.0,25.0,-1.0,0,0.9082386099668597,0.005813039555620615,0.03645662340880218,,,,,
death_30d_inhosp,leaf_depth,0.1,5.0,50.0,4.0,0,0.9016182983863474,0.005992007122909221,0.02983631182828994,,,,,
death_30d_inhosp,leaf_depth,0.1,5.0,50.0,6.0,0,0.9017499303125096,0.006002718775356123,0.02996794375445211,,,,,
death_30d_inhosp,leaf_depth,0.1,5.0,50.0,8.0,0,0.9018505900207515,0.005998050087220058,0.03006860346269402,,,,,
death_30d_inhosp,leaf_depth,0.1,5.0,50.0,12.0,0,0.9018505900207515,0.005998050087220058,0.03006860346269402,,,,,
death_30d_inhosp,leaf_depth,0.1,5.0,50.0,-1.0,0,0.9018505900207515,0.005998050087220058,0.03006860346269402,,,,,
death_30d_inhosp,leaf_depth,0.1,5.0,100.0,4.0,0,0.8966503546318952,0.005863421550400195,0.024868368073837743,,,,,
death_30d_inhosp,leaf_depth,0.1,5.0,100.0,6.0,0,0.8967107504568401,0.005756099416041395,0.024928763898782624,,,,,
death_30d_inhosp,leaf_depth,0.1,5.0,100.0,8.0,0,0.8967107504568401,0.005756099416041395,0.024928763898782624,,,,,
death_30d_inhosp,leaf_depth,0.1,5.0,100.0,12.0,0,0.8967107504568401,0.005756099416041395,0.024928763898782624,,,,,
death_30d_inhosp,leaf_depth,0.1,5.0,100.0,-1.0,0,0.8967107504568401,0.005756099416041395,0.024928763898782624,,,,,
death_30d_inhosp,prod,0.1,5.0,5.0,12.0,0,0.9140908105429428,0.00575099180194651,0.042308823984885335,,,,,
death_30d_inhosp,prod,0.1,5.0,5.0,12.0,3,0.9100520333261064,0.004491717806732919,0.038270046768048904,,,,,
death_30d_inhosp,prod,0.1,5.0,5.0,12.0,5,0.9036965342088147,0.004111374545677728,0.031914547650757186,,,,,
death_30d_inhosp,final,0.1,5.0,5.0,12.0,0,0.9146955430978412,0.004555270312066366,0.04291355653978368,0.9045900826958219,0.9194257750797535,0.039863776045563834,1.6648538285754502,-0.09060785163590537
death_30d_inhosp,calib_platt,0.1,5.0,5.0,12.0,0,0.9030337287453155,,,,,0.03743162808014187,0.9630089968846276,-0.07150314424543608
death_30d_inhosp,calib_isotonic,0.1,5.0,5.0,12.0,0,0.8897001889305294,,,,,0.03805812858486872,0.6337667571281014,-0.6972159592065118
death_30d,ref,,,,,0,0.8793114890454111,0.0031355102620458943,0.0,,,,,
death_30d,untuned,,10.0,10.0,6.0,0,0.898662088981701,0.002741414413432704,0.019350599936289847,,,,,
death_30d,mtry_k,0.1,5.0,10.0,6.0,0,0.8970764166637173,0.0022124141531638434,0.01776492761830617,,,,,
death_30d,mtry_k,0.1,10.0,10.0,6.0,0,0.898662088981701,0.002741414413432704,0.019350599936289847,,,,,
death_30d,mtry_k,0.1,20.0,10.0,6.0,0,0.897912611050154,0.002872299039572473,0.018601122004742843,,,,,
death_30d,mtry_k,0.1,30.0,10.0,6.0,0,0.8953394329805684,0.0025100017363064854,0.016027943935157274,,,,,
death_30d,mtry_k,0.25,5.0,10.0,6.0,0,0.8993089229462358,0.0016645506144641312,0.019997433900824646,,,,,
death_30d,mtry_k,0.25,10.0,10.0,6.0,0,0.9005167592822001,0.0020736929903336565,0.021205270236788976,,,,,
death_30d,mtry_k,0.25,20.0,10.0,6.0,0,0.8987903939404666,0.003044209726355149,0.019478904895055438,,,,,
death_30d,mtry_k,0.25,30.0,10.0,6.0,0,0.8954181856793969,0.002576885549901194,0.016106696633985784,,,,,
death_30d,mtry_k,0.4,5.0,10.0,6.0,0,0.8995522599369977,0.002495987906993862,0.0202407708915866,,,,,
death_30d,mtry_k,0.4,10.0,10.0,6.0,0,0.9005857785013982,0.0028483891891866626,0.021274289455987083,,,,,
death_30d,mtry_k,0.4,20.0,10.0,6.0,0,0.8977781120588965,0.0034608102773325948,0.01846662301348534,,,,,
