outcome,sparse_k,measure,temp,amp,mean,sd,vs_pool,spread
death_30d_inhosp,3.0,local,1.0,0.1,0.9065206091591091,0.0036584419357160187,0.0027206091591090997,0.09270141234180848
death_30d_inhosp,3.0,local,1.0,0.25,0.9065206091591091,0.0036584419357160187,0.0027206091591090997,0.09270141234180848
death_30d_inhosp,3.0,local,2.0,0.0,0.9067921395821535,0.004002279411142586,0.002992139582153497,0.09270141234180848
death_30d_inhosp,3.0,local,2.0,0.1,0.9067921395821535,0.004002279411142586,0.002992139582153497,0.09270141234180848
death_30d_inhosp,3.0,local,2.0,0.25,0.9067921395821535,0.004002279411142586,0.002992139582153497,0.09270141234180848
death_30d_inhosp,3.0,local,5.0,0.0,0.9040287356767701,0.00642232119573851,0.00022873567677006434,0.09270141234180848
death_30d_inhosp,3.0,local,5.0,0.1,0.9040287356767701,0.00642232119573851,0.00022873567677006434,0.09270141234180848
death_30d_inhosp,3.0,local,5.0,0.25,0.9040287356767701,0.00642232119573851,0.00022873567677006434,0.09270141234180848
death_30d_inhosp,3.0,local,10.0,0.0,0.8874793442928184,0.0068201230960025,-0.016320655707181664,0.09270141234180848
death_30d_inhosp,3.0,local,10.0,0.1,0.887477792690401,0.006819641240663499,-0.0163222073095991,0.09270141234180848
death_30d_inhosp,3.0,local,10.0,0.25,0.887477792690401,0.006819641240663499,-0.0163222073095991,0.09270141234180848
death_30d_inhosp,3.0,local,20.0,0.0,0.875575450546552,0.006697535913140188,-0.0282245494534481,0.09270141234180848
death_30d_inhosp,3.0,local,20.0,0.1,0.875575450546552,0.006697535913140188,-0.0282245494534481,0.09270141234180848
death_30d_inhosp,3.0,local,20.0,0.25,0.875575450546552,0.006697535913140188,-0.0282245494534481,0.09270141234180848
death_30d_inhosp,3.0,local,-1.0,0.0,0.5708996966617275,0.023615752351220452,-0.3329003033382726,0.09270141234180848
death_30d_inhosp,3.0,local,-1.0,0.1,0.5708996966617275,0.023615752351220452,-0.3329003033382726,0.09270141234180848
death_30d_inhosp,3.0,local,-1.0,0.25,0.5708996966617275,0.023615752351220452,-0.3329003033382726,0.09270141234180848
death_30d_inhosp,5.0,tcp,1.0,0.0,0.9065035415325177,0.0036480999068618106,0.002703541532517617,0.10489090597300452
death_30d_inhosp,5.0,tcp,1.0,0.1,0.9065035415325177,0.0036480999068618106,0.002703541532517617,0.10489090597300452
death_30d_inhosp,5.0,tcp,1.0,0.25,0.9065035415325177,0.0036480999068618106,0.002703541532517617,0.10489090597300452
death_30d_inhosp,5.0,tcp,2.0,0.0,0.9067580043289707,0.003891566874720033,0.0029580043289706426,0.10489090597300452
death_30d_inhosp,5.0,tcp,2.0,0.1,0.9067580043289707,0.003891566874720033,0.0029580043289706426,0.10489090597300452
death_30d_inhosp,5.0,tcp,2.0,0.25,0.9067580043289707,0.003891566874720033,0.0029580043289706426,0.10489090597300452
death_30d_inhosp,5.0,tcp,5.0,0.0,0.9020566490042592,0.004769245107969303,-0.0017433509957408555,0.10489090597300452
death_30d_inhosp,5.0,tcp,5.0,0.1,0.9020566490042592,0.004769245107969303,-0.0017433509957408555,0.10489090597300452
death_30d_inhosp,5.0,tcp,5.0,0.25,0.9020566490042592,0.004769245107969303,-0.0017433509957408555,0.10489090597300452
death_30d_inhosp,5.0,tcp,10.0,0.0,0.8868338776871815,0.0051265581366904045,-0.016966122312818577,0.10489090597300452
death_30d_inhosp,5.0,tcp,10.0,0.1,0.8868338776871815,0.0051265581366904045,-0.016966122312818577,0.10489090597300452
