direction,outcome,arch,decile,pred,obs,n
M2I,death_30d,late:wsrc,2,0.2939805785123967,0.021212121212121213,330
M2I,death_30d,late:wsrc,3,0.3782603305785124,0.024242424242424242,330
M2I,death_30d,late:wsrc,4,0.4612792470156107,0.045454545454545456,330
M2I,death_30d,late:wsrc,5,0.5409348025711662,0.03939393939393939,330
M2I,death_30d,late:wsrc,6,0.6193123507805326,0.06363636363636363,330
M2I,death_30d,late:wsrc,7,0.7011015610651974,0.11212121212121212,330
M2I,death_30d,late:wsrc,8,0.7875415059687787,0.1484848484848485,330
M2I,death_30d,late:wsrc,9,0.8936189164370982,0.2818181818181818,330
M2I,composite_30d,uni:ehr_only,0,0.050151515151515155,0.03333333333333333,330
M2I,composite_30d,uni:ehr_only,1,0.15015151515151515,0.048484848484848485,330
M2I,composite_30d,uni:ehr_only,2,0.2501515151515151,0.045454545454545456,330
M2I,composite_30d,uni:ehr_only,3,0.35015151515151516,0.09393939393939393,330
M2I,composite_30d,uni:ehr_only,4,0.4501515151515152,0.12424242424242424,330
M2I,composite_30d,uni:ehr_only,5,0.5501515151515152,0.09090909090909091,330
M2I,composite_30d,uni:ehr_only,6,0.6501515151515151,0.15757575757575756,330
M2I,composite_30d,uni:ehr_only,7,0.7501515151515152,0.2606060606060606,330
M2I,composite_30d,uni:ehr_only,8,0.8501515151515152,0.3090909090909091,330
M2I,composite_30d,uni:ehr_only,9,0.9501515151515152,0.36666666666666664,330
M2I,composite_30d,early:plain,0,0.006790642228409108,0.024242424242424242,330
M2I,composite_30d,early:plain,1,0.016127206957601475,0.048484848484848485,330
M2I,composite_30d,early:plain,2,0.028079409442046357,0.08787878787878788,330
M2I,composite_30d,early:plain,3,0.045543705413791935,0.06363636363636363,330
M2I,composite_30d,early:plain,4,0.06833146509811713,0.10606060606060606,330
M2I,composite_30d,early:plain,5,0.10221151143481604,0.11818181818181818,330
M2I,composite_30d,early:plain,6,0.1492730977099165,0.16363636363636364,330
M2I,composite_30d,early:plain,7,0.22765742804779393,0.24848484848484848,330
M2I,composite_30d,early:plain,8,0.369967468146006,0.3212121212121212,330
M2I,composite_30d,early:plain,9,0.6813147497665827,0.3484848484848485,330
M2I,composite_30d,early:blockstd,0,0.03443685638896418,0.01818181818181818,330
M2I,composite_30d,early:blockstd,1,0.05456032959450654,0.04242424242424243,330
M2I,composite_30d,early:blockstd,2,0.07184394884534197,0.05454545454545454,330
M2I,composite_30d,early:blockstd,3,0.09048732724470461,0.06060606060606061,330
M2I,composite_30d,early:blockstd,4,0.11105418667912366,0.12121212121212122,330
M2I,composite_30d,early:blockstd,5,0.13459107573353596,0.1303030303030303,330
M2I,composite_30d,early:blockstd,6,0.16626829518466388,0.18484848484848485,330
M2I,composite_30d,early:blockstd,7,0.2071283501474567,0.22121212121212122,330
M2I,composite_30d,early:blockstd,8,0.2764296249981905,0.3212121212121212,330
M2I,composite_30d,early:blockstd,9,0.46324190973903606,0.37575757575757573,330
M2I,composite_30d,inter:plain,0,2.0902835728975333e-07,0.03939393939393939,330
M2I,composite_30d,inter:plain,1,7.595478109578835e-06,0.07272727272727272,330
M2I,composite_30d,inter:plain,2,0.00011496360821183771,0.08181818181818182,330
M2I,composite_30d,inter:plain,3,0.0008971710922196507,0.10303030303030303,330
M2I,composite_30d,inter:plain,4,0.004883366171270609,0.12424242424242424,330
M2I,composite_30d,inter:plain,5,0.02125832810997963,0.11515151515151516,330
M2I,composite_30d,inter:plain,6,0.0998564139008522,0.1696969696969697,330
M2I,composite_30d,inter:plain,7,0.41261377930641174,0.2545454545454545,330
M2I,composite_30d,inter:plain,8,0.8257892727851868,0.25757575757575757,330
M2I,composite_30d,inter:plain,9,0.9771699905395508,0.31212121212121213,330
M2I,composite_30d,late:mean,0,0.12631145289755563,0.01812688821752266,331
M2I,composite_30d,late:mean,1,0.23663373860182374,0.05167173252279635,329
M2I,composite_30d,late:mean,2,0.3149230945821855,0.0696969696969697,330
M2I,composite_30d,late:mean,3,0.38722842056932966,0.07878787878787878,330
M2I,composite_30d,late:mean,4,0.4570004591368228,0.08787878787878788,330
M2I,composite_30d,late:mean,5,0.5269791092745638,0.15151515151515152,330
M2I,composite_30d,late:mean,6,0.6092679063360882,0.18181818181818182,330
M2I,composite_30d,late:mean,7,0.6877874668131466,0.23867069486404835,331
M2I,composite_30d,late:mean,8,0.7685101777654969,0.2553191489361702,329
M2I,composite_30d,late:mean,9,0.8874522497704316,0.396969696969697,330
M2I,composite_30d,late:wsrc,0,0.10738418273645546,0.012121212121212121,330
M2I,composite_30d,late:wsrc,1,0.20735456841138658,0.045454545454545456,330
M2I,composite_30d,late:wsrc,2,0.29267596418732783,0.06060606060606061,330
M2I,composite_30d,late:wsrc,3,0.37525769054178143,0.08787878787878788,330
M2I,composite_30d,late:wsrc,4,0.45887970615243345,0.10303030303030303,330
M2I,composite_30d,late:wsrc,5,0.5421363178613934,0.1268882175226586,331
M2I,composite_30d,late:wsrc,6,0.6235303260569218,0.14893617021276595,329
M2I,composite_30d,late:wsrc,7,0.7062107438016529,0.22121212121212122,330
M2I,composite_30d,late:wsrc,8,0.7897347337006427,0.33636363636363636,330
