test,featset,outcome,method,k,nfeat,events,ev_per_feat,has_ecg,mean,sd,vs_ref
sets,ecg+ctpa,death_30d_inhosp,pca20,20.0,310,83,0.267741935483871,1,0.7355262647499206,0.006895791231848996,-0.04796623713139736
sets,ecg+ctpa,death_30d_inhosp,pca30,30.0,310,83,0.267741935483871,1,0.7416504394913846,0.010269907948952672,-0.041842062389933266
best,ecg+ctpa,death_30d_inhosp,pca_best,30.0,310,83,0.267741935483871,1,0.7416504394913846,,-0.041842062389933266
sets,all3,death_30d_inhosp,raw,,338,83,0.2455621301775148,1,0.8549399141963864,0.008002093068315714,
sets,all3,death_30d_inhosp,late,,338,83,0.2455621301775148,1,0.8803249055462027,0.008444625160580638,
sets,all3,death_30d_inhosp,pca5,5.0,338,83,0.2455621301775148,1,0.7332717864374433,0.00978941926968751,-0.1470531191087594
sets,all3,death_30d_inhosp,pca8,8.0,338,83,0.2455621301775148,1,0.7429328388893629,0.009890024276302579,-0.13739206665683978
sets,all3,death_30d_inhosp,pca10,10.0,338,83,0.2455621301775148,1,0.7611564092816857,0.01043282489935503,-0.11916849626451698
sets,all3,death_30d_inhosp,pca15,15.0,338,83,0.2455621301775148,1,0.790760983405612,0.009241755429506431,-0.08956392214059072
sets,all3,death_30d_inhosp,pca20,20.0,338,83,0.2455621301775148,1,0.8316550167185159,0.010315770875606974,-0.04866988882768675
sets,all3,death_30d_inhosp,pca30,30.0,338,83,0.2455621301775148,1,0.8429374936966152,0.014590238765054735,-0.03738741184958749
best,all3,death_30d_inhosp,pca_best,30.0,338,83,0.2455621301775148,1,0.8429374936966152,,-0.03738741184958749
subsample,ehr+ctpa,death_30d,late,,74,152,2.054054054054054,0,0.8820431089516244,0.006002435316448123,0.0
subsample,ehr+ctpa,death_30d,raw,,74,152,2.054054054054054,0,0.8849127535820684,0.004968827198900334,0.002869644630444035
subsample,ehr+ctpa,death_30d,pca8,8.0,74,152,2.054054054054054,0,0.8788329904951058,0.006722276820491247,-0.0032101184565186403
subsample,ehr+ctpa,death_30d,pca10,10.0,74,152,2.054054054054054,0,0.8811285288693431,0.002780529036575985,-0.0009145800822812911
subsample,ehr+ctpa,death_30d,late,,74,130,1.7567567567567568,0,0.8807262077545097,0.011888550285592346,0.0
subsample,ehr+ctpa,death_30d,raw,,74,130,1.7567567567567568,0,0.878432510885341,0.008362008852529109,-0.002293696869168693
subsample,ehr+ctpa,death_30d,pca8,8.0,74,130,1.7567567567567568,0,0.8755442670537009,0.00958647074805248,-0.005181940700808796
subsample,ehr+ctpa,death_30d,pca10,10.0,74,130,1.7567567567567568,0,0.8782904831018039,0.007768218022924361,-0.0024357246527058063
subsample,ehr+ctpa,death_30d,late,,74,110,1.4864864864864864,0,0.866125949522176,0.009981789575981866,0.0
subsample,ehr+ctpa,death_30d,raw,,74,110,1.4864864864864864,0,0.8678840970350403,0.005645606082518623,0.0017581475128642943
subsample,ehr+ctpa,death_30d,pca8,8.0,74,110,1.4864864864864864,0,0.8735959323695173,0.012971919354291171,0.007469982847341239
subsample,ehr+ctpa,death_30d,pca10,10.0,74,110,1.4864864864864864,0,0.8688899779465817,0.019303199679135057,0.0027640284244057067
subsample,ehr+ctpa,death_30d,late,,74,95,1.2837837837837838,0,0.8652950773159315,0.015802989241466586,0.0
subsample,ehr+ctpa,death_30d,raw,,74,95,1.2837837837837838,0,0.8717718825365302,0.012720436652157028,0.00647680522059868
subsample,ehr+ctpa,death_30d,pca8,8.0,74,95,1.2837837837837838,0,0.8671925095758265,0.01567424463785732,0.0018974322598950266
subsample,ehr+ctpa,death_30d,pca10,10.0,74,95,1.2837837837837838,0,0.871143424599234,0.010896275770508971,0.005848347283302524
subsample,ehr+ctpa,death_30d,late,,74,83,1.1216216216216217,0,0.8681559120579353,0.006083977338981582,0.0
subsample,ehr+ctpa,death_30d,raw,,74,83,1.1216216216216217,0,0.8721625044653006,0.0052461435557940765,0.004006592407365339
