direction,outcome,arch,seed,auc,ap
M2M,death_30d,inter:gated,13,0.8623958443202194,0.40456045420950026
M2M,death_30d,inter:moddrop,42,0.8569287698203425,0.42774582988114773
M2M,death_30d,inter:moddrop,7,0.8544325493091447,0.4091104955444497
M2M,death_30d,inter:moddrop,13,0.8528240691910135,0.41050602832963
M2M,death_30d,inter:lowrank,42,0.8375347185599269,0.3851522303759356
M2M,death_30d,inter:lowrank,7,0.8270400450022852,0.35183416599753625
M2M,death_30d,inter:lowrank,13,0.8533272685722323,0.392858047613209
M2M,death_30d,inter:bilinear,42,0.8406769679710298,0.4577745497752849
M2M,death_30d,inter:bilinear,7,0.818843828006891,0.3878204743982069
M2M,death_30d,inter:bilinear,13,0.8271674928804977,0.3742150395315183
M2M,death_30d,inter:tucker,42,0.8258842245895299,0.3573064399272823
M2M,death_30d,inter:tucker,7,0.8239241641177091,0.34559321021877076
M2M,death_30d,inter:tucker,13,0.8403253876173399,0.3668417681850344
M2M,death_30d,inter:crossattn,42,0.8548896037689413,0.4111478745433987
M2M,death_30d,inter:crossattn,7,0.8456166719403719,0.39676211000925554
M2M,death_30d,inter:crossattn,13,0.8545577998101466,0.39871546309728845
M2M,composite_30d,inter:plain,42,0.810061627869847,0.38335264927981433
M2M,composite_30d,inter:plain,7,0.812114825813456,0.37544777545508673
M2M,composite_30d,inter:plain,13,0.8027812370278122,0.35329349673716454
M2M,composite_30d,inter:gated,42,0.7922310566146182,0.35980219360295235
M2M,composite_30d,inter:gated,7,0.8102372513331416,0.37200660115713274
M2M,composite_30d,inter:gated,13,0.8083149726985344,0.3845056635066219
M2M,composite_30d,inter:moddrop,42,0.8150014369192451,0.3949402185676568
M2M,composite_30d,inter:moddrop,7,0.8174952900980298,0.3758090223614465
M2M,composite_30d,inter:moddrop,13,0.8250407127119456,0.41286182329596033
M2M,composite_30d,inter:lowrank,42,0.7954305968004597,0.34395978687682427
M2M,composite_30d,inter:lowrank,7,0.7812785388127853,0.3282946710927126
