direction,outcome,arch,thresh,nb
I2M,composite_30d,uni:ehr_only,0.14,0.013637581620996514
I2M,composite_30d,uni:ehr_only,0.15000000000000002,0.005493525487817896
I2M,composite_30d,uni:ehr_only,0.16,-0.0027144878569984876
I2M,composite_30d,uni:ehr_only,0.17,-0.010762272863436784
I2M,composite_30d,uni:ehr_only,0.18000000000000002,-0.01962756437752372
I2M,composite_30d,uni:ehr_only,0.19,-0.028329926854285037
I2M,composite_30d,uni:ehr_only,0.2,-0.03638568829593691
I2M,composite_30d,uni:ehr_only,0.21000000000000002,-0.04500617942596588
I2M,composite_30d,uni:ehr_only,0.22,-0.05297694018130647
I2M,composite_30d,uni:ehr_only,0.23,-0.06072157072763498
I2M,composite_30d,uni:ehr_only,0.24000000000000002,-0.06859021416488462
I2M,composite_30d,uni:ehr_only,0.25,-0.07620780270871233
I2M,composite_30d,uni:ehr_only,0.26,-0.0839657122252635
I2M,composite_30d,uni:ehr_only,0.27,-0.09144604035654652
I2M,composite_30d,uni:ehr_only,0.28,-0.09908361970217644
I2M,composite_30d,uni:ehr_only,0.29000000000000004,-0.10641532640353954
I2M,composite_30d,uni:ehr_only,0.3,-0.11478818331456295
I2M,composite_30d,uni:ehr_only,0.31,-0.12197115511377124
I2M,composite_30d,uni:ehr_only,0.32,-0.1293475546677131
I2M,composite_30d,uni:ehr_only,0.33,-0.13726093607161285
I2M,composite_30d,uni:ehr_only,0.34,-0.14541411691199446
I2M,composite_30d,uni:ehr_only,0.35000000000000003,-0.1522601110229977
I2M,composite_30d,uni:ehr_only,0.36000000000000004,-0.15933899332929052
I2M,composite_30d,uni:ehr_only,0.37,-0.1669410032054059
I2M,composite_30d,uni:ehr_only,0.38,-0.1748273636025744
I2M,composite_30d,uni:ehr_only,0.39,-0.1822664506059311
I2M,composite_30d,uni:ehr_only,0.4,-0.19102486355366893
I2M,composite_30d,uni:ehr_only,0.41000000000000003,-0.1983020012128563
I2M,composite_30d,uni:ehr_only,0.42000000000000004,-0.20486815415821508
I2M,composite_30d,uni:ehr_only,0.43,-0.21193067568861507
I2M,composite_30d,uni:ehr_only,0.44,-0.2193537208697912
I2M,composite_30d,uni:ehr_only,0.45,-0.22619769557307456
I2M,composite_30d,uni:ehr_only,0.46,-0.23230689755856526
I2M,composite_30d,uni:ehr_only,0.47000000000000003,-0.2400311223497374
I2M,composite_30d,uni:ehr_only,0.48000000000000004,-0.24938190978215236
I2M,composite_30d,uni:ehr_only,0.49,-0.25694716940748397
I2M,composite_30d,uni:ehr_only,0.5,-0.2625833838690115
I2M,composite_30d,early:plain,0.01,0.12406049580094455
I2M,composite_30d,early:plain,0.02,0.11566688531082536
I2M,composite_30d,early:plain,0.03,0.1075440910767538
I2M,composite_30d,early:plain,0.04,0.10241055184960583
I2M,composite_30d,early:plain,0.05,0.09910312470077559
I2M,composite_30d,early:plain,0.060000000000000005,0.09468020592751247
I2M,composite_30d,early:plain,0.06999999999999999,0.08951009735453877
I2M,composite_30d,early:plain,0.08,0.08542726817306931
I2M,composite_30d,early:plain,0.09,0.08158124471041392
I2M,composite_30d,early:plain,0.09999999999999999,0.07506232733643285
I2M,composite_30d,early:plain,0.11,0.07437261942886735
I2M,composite_30d,early:plain,0.12,0.07169634489222118
I2M,composite_30d,early:plain,0.13,0.06741110948467549
I2M,composite_30d,early:plain,0.14,0.06484550185454187
