outcome,a,b,spearman,err_corr,disagree,yule_q,kappa,joint_miss,auc_a,auc_b,gap
composite_30d,inter,late,0.8522869157068591,0.8979973124540215,0.15158924205378974,0.9334019836323234,0.6797317415486431,0.0365296803652968,0.8294991562554714,0.8495868283476679,0.020087672092196418
cv_first,ehr,ecg,0.4893406350499285,0.6024773044990153,0.32283991962491626,0.6267384015393823,0.35120549165414977,0.02631578947368421,0.8028018175290024,0.6973653258056928,0.1054364917233096
cv_first,ehr,ctpa,0.2706634511928661,0.45259131090530885,0.40991292699263226,0.34623414839206895,0.17786047716908948,0.05263157894736842,0.8028018175290024,0.6163008084785004,0.18650100905050193
cv_first,ehr,early,0.5946376254701418,0.6825733661664852,0.2960482250502344,0.6976917349218168,0.4053111476786709,0.05263157894736842,0.8028018175290024,0.7177630031323897,0.08503881439661265
cv_first,ehr,pca10,0.759024624037145,0.8066019479921096,0.2143335565974548,0.8602161403355446,0.5686911053373754,0.02631578947368421,0.8028018175290024,0.755175252881675,0.047626564647327396
cv_first,ehr,inter,0.6653395508053378,0.7412097291938871,0.2451440053583389,0.808596922741349,0.5076744823012996,0.039473684210526314,0.8028018175290024,0.6998384281097946,0.1029633894192078
cv_first,ehr,late,0.9885284660285348,0.9905892902966222,0.04018754186202277,0.996477031144377,0.9190576788583139,0.06578947368421052,0.8028018175290024,0.8064851613861754,0.0036833438571730603
cv_first,ecg,ctpa,0.1295245814644613,0.3741265484692474,0.45679839249832555,0.1683366733466934,0.08458104154791941,0.06578947368421052,0.6973653258056928,0.6163008084785004,0.08106451732719233
cv_first,ecg,early,0.7784187184087188,0.8341877184301579,0.21299397186872068,0.8628899056442579,0.5726945120458504,0.11842105263157894,0.6973653258056928,0.7177630031323897,0.02039767732669695
cv_first,ecg,pca10,0.4046014458547812,0.5445591813899748,0.3362357669122572,0.588511118009378,0.3246024136340043,0.039473684210526314,0.6973653258056928,0.755175252881675,0.057809927075982204
cv_first,ecg,inter,0.2965075199066005,0.4788075776401098,0.3844608171466845,0.43561981772082503,0.22882092611823301,0.09210526315789473,0.6973653258056928,0.6998384281097946,0.002473102304101804
cv_first,ecg,late,0.6045359310044696,0.6920118270138086,0.2853315472203617,0.7231499347152699,0.42649413886384124,0.039473684210526314,0.6973653258056928,0.8064851613861754,0.10911983558048266
