direction,outcome,arch,n,ev,auc,ap,ehr_ref,gain,lo,hi,pgt
I2I,composite_30d,late:mean,3300,505,0.7428108893179122,0.322966273082579,0.7556063692236845,-0.01265557967710875,-0.029841677089815586,0.004548451541278398,0.074
I2I,composite_30d,late:wsrc,3300,505,0.7607495704847766,0.34194869011449347,0.7556063692236845,0.005210159393029011,-0.003763811089334468,0.014339683952918606,0.864
I2I,composite_30d,uni:ehr_only,3300,505,0.7556063692236845,0.3466498593729015,0.7556063692236845,0.0,0.0,0.0,0.5
I2I,composite_30d,uni:ctpa_only,3300,505,0.6373439132822047,0.23115824889310765,0.7556063692236845,-0.11801065612336642,-0.15047075724872636,-0.08532837297346267,0.0
I2I,cv_first,early:plain,3083,288,0.7644702842377262,0.26209578833428654,0.7845048201152851,-0.019832400779524313,-0.03282089569818418,-0.006947077727894491,0.0015
I2I,cv_first,early:blockstd,3083,288,0.7762000596302921,0.2631658675853429,0.7845048201152851,-0.00817851184356276,-0.018220482815247987,0.0020014777498411182,0.0575
I2I,cv_first,early:pca,3083,288,0.7650628602663484,0.2555457869728576,0.7845048201152851,-0.01932047691295313,-0.03355465403469164,-0.00647320356655047,0.002
I2I,cv_first,inter:plain,3083,288,0.6902703239912542,0.18171489687189654,0.7845048201152851,-0.09409377917132891,-0.11954225218542112,-0.06862526659561186,0.0
I2I,cv_first,inter:gated,3083,288,0.714954780361757,0.19193230787487825,0.7845048201152851,-0.06964537585384413,-0.09398172437730633,-0.046385251098914206,0.0
I2I,cv_first,inter:moddrop,3083,288,0.6885497416020672,0.18141638246137923,0.7845048201152851,-0.0957355078668071,-0.12268700156749812,-0.06979258247506168,0.0
I2I,cv_first,inter:lowrank,3083,288,0.7136267640628106,0.19137388419331391,0.7845048201152851,-0.07092807809356487,-0.0934516117942141,-0.04882478690978877,0.0
I2I,cv_first,inter:bilinear,3083,288,0.7205960544623335,0.1964371795638448,0.7845048201152851,-0.06364269968520575,-0.08630261242596145,-0.04054363014183925,0.0
I2I,cv_first,inter:tucker,3083,288,0.7147150168952495,0.18520869243116775,0.7845048201152851,-0.06962434823791182,-0.09145700656905235,-0.0493019679655263,0.0
I2I,cv_first,inter:crossattn,3083,288,0.694802226197575,0.18770129267006608,0.7845048201152851,-0.08995041426857145,-0.11610253944725629,-0.06543125565912465,0.0
I2I,cv_first,late:mean,3083,288,0.732569320214669,0.23551397530570495,0.7845048201152851,-0.05171459767147162,-0.07369528751578229,-0.030185853193377927,0.0
I2I,cv_first,late:wsrc,3083,288,0.7809940866626914,0.2842046216202652,0.7845048201152851,-0.0034729584753748783,-0.010351909493422582,0.0033722697009138927,0.162
I2I,cv_first,uni:ehr_only,3083,288,0.7845048201152851,0.2803588731019103,0.7845048201152851,0.0,0.0,0.0,0.5
I2I,cv_first,uni:ctpa_only,3083,288,0.5882807841383423,0.12841031027669758,0.7845048201152851,-0.1956270395336575,-0.23663318302181288,-0.1552172029456006,0.0
