direction,outcome,scaler,arch,n,ev,auc,cross,gain,lo,hi
M2M,composite_30d,coral,early,1649,219,0.8155283073091292,False,-0.018924740710904955,-0.03524790123043427,-0.0027681845381569274
M2M,composite_30d,coral,late_mean,1649,219,0.812606571510681,False,-0.02209129597259193,-0.04270485393321199,-0.0024809409447157068
M2M,composite_30d,coral,late_wsrc,1649,219,0.8341284286489766,False,-0.0006213820322582207,-0.012469268013537736,0.011233184712366045
M2M,cv_first,std,ehr_only,1506,76,0.7750782112624218,False,,,
M2M,cv_first,std,early,1506,76,0.7592105263157896,False,-0.015851587120418575,-0.06274929968418924,0.02350805169340902
M2M,cv_first,std,late_mean,1506,76,0.7672202797202797,False,-0.008001269507730783,-0.05066043439645971,0.030332461753943253
M2M,cv_first,std,late_wsrc,1506,76,0.7844865660655134,False,0.009281411941319312,-0.01747807051613035,0.03348950797751169
M2M,cv_first,blockstd,ehr_only,1506,76,0.7979020979020979,False,0.023383795835018987,0.00018186292230487936,0.05039680568757751
M2M,cv_first,blockstd,early,1506,76,0.7790117776959882,False,0.003946372694101209,-0.025528133951895494,0.032960542914658685
M2M,cv_first,blockstd,late_mean,1506,76,0.7761961722488039,False,0.0007778938558705244,-0.041313024976239454,0.04552972261645651
M2M,cv_first,blockstd,late_wsrc,1506,76,0.8030318365844682,False,0.028075559523680935,-0.0007728483766510582,0.0584204446120441
M2M,cv_first,robust,ehr_only,1506,76,0.7617224880382772,False,-0.013599098759407763,-0.029913791527663443,0.00200364012322783
M2M,cv_first,robust,early,1506,76,0.7528432094221568,False,-0.022897728194497098,-0.05072395775128943,0.0019264284179791797
M2M,cv_first,robust,late_mean,1506,76,0.7461032388663968,False,-0.02999454383834602,-0.068658651384367,0.011368405239742689
M2M,cv_first,robust,late_wsrc,1506,76,0.7672846889952153,False,-0.008416847745089029,-0.03227342413362745,0.013714341600534809
M2M,cv_first,quantile,ehr_only,1506,76,0.799802171512698,False,0.025523240144825845,0.0005928397087959726,0.050102639873931584
M2M,cv_first,quantile,early,1506,76,0.7865384615384615,False,0.011655801132995674,-0.019317185049674397,0.04115068133305913
M2M,cv_first,quantile,late_mean,1506,76,0.7704085388295914,False,-0.004994699177957441,-0.04577302847840443,0.038170863705280736
M2M,cv_first,quantile,late_wsrc,1506,76,0.8012651821862348,False,0.026553542210535953,-0.0009127196717587019,0.05575843858110699
M2M,cv_first,tgtfit,ehr_only,1506,76,0.7743006993006993,False,-0.0007562111906187334,-0.002627467052431454,0.001043052276914402
M2M,cv_first,tgtfit,early,1506,76,0.7610139860139861,False,-0.014106125601588361,-0.05860390625870696,0.02247519774755586
M2M,cv_first,tgtfit,late_mean,1506,76,0.7660471107839529,False,-0.009201924038507617,-0.05144858897956906,0.028250468840260955
M2M,cv_first,tgtfit,late_wsrc,1506,76,0.7852364740522635,False,0.009906755051291474,-0.014965106618677409,0.03309177092589733
M2M,cv_first,coral,ehr_only,1506,76,0.7820436142804564,False,0.007218234551335771,-0.000194314603972906,0.015055018892537377
M2M,cv_first,coral,early,1506,76,0.7678597718071403,False,-0.00704162036557785,-0.05318605135144189,0.03205454674516827
M2M,cv_first,coral,late_mean,1506,76,0.7732333456017667,False,-0.0018161854246029458,-0.04549563128512833,0.03827336008467434
M2M,cv_first,coral,late_wsrc,1506,76,0.790692859771807,False,0.015690737423012947,-0.01224264134347899,0.04150469837830603
I2I,death_30d,std,ehr_only,3300,246,0.779259907039149,False,,,
I2I,death_30d,std,early,3300,246,0.7995378578540205,False,0.020673911079752506,0.0027775598507751528,0.04035929241008076
I2I,death_30d,std,late_mean,3300,246,0.7920200616544476,False,0.013303469285872286,-0.007028923221190536,0.035460943228062744
I2I,death_30d,std,late_wsrc,3300,246,0.7951440467253396,False,0.01630874236193503,0.0003467228133438473,0.033760261838459905
I2I,death_30d,blockstd,ehr_only,3300,246,0.7798695300312531,False,0.0006390319083612156,-0.009122889324695007,0.01135319723634163
I2I,death_30d,blockstd,early,3300,246,0.799471305125625,False,0.02052833331701339,0.006075261497198068,0.03611492424525215
I2I,death_30d,blockstd,late_mean,3300,246,0.7935640849532268,False,0.014791966084970676,-0.004704989090245387,0.03482817947949655
