outcome,strategy,draws,n_ehr,n_ecg,n_ctpa,ehr_share,mean_all,sd_all,mean_cc,mean_noct,vs_bar
cv_first,complete,20+4+4,20,4,4,71.42857142857143,0.7887057534450099,0.009185040881125641,0.7887057534450099,,0.0022057534450099503
cv_first,complete,28+4+2,28,4,2,82.3529411764706,0.7844045982988522,0.011042808571936439,0.7844045982988522,,-0.0020954017011477477
cv_first,complete,28+2+4,28,2,4,82.3529411764706,0.7837360249600713,0.013805272592089609,0.7837360249600713,,-0.0027639750399286456
cv_first,complete,28+8+8,28,8,8,63.63636363636363,0.77769472198492,0.009259406255720031,0.77769472198492,,-0.00880527801508002
cv_first,complete,20+8+16,20,8,16,45.45454545454545,0.7899881142517551,0.008761702571331331,0.7899881142517551,,0.0034881142517551034
cv_first,nan_ind,28+4+4,28,4,4,77.77777777777777,0.7900725858512698,0.004902230718857428,0.7951955577015933,0.7900821405335068,0.0035725858512698494
cv_first,nan_ind,28+2+2,28,2,2,87.5,0.7891660499755947,0.005389263612032809,0.7945789845113843,0.7886196052916937,0.00266604997559472
cv_first,nan_ind,38+4+4,38,4,4,82.6086956521739,0.7858182047204421,0.004946827911273076,0.7839412398321137,0.7891455215788332,-0.0006817952795579174
cv_first,nan_ind,20+4+4,20,4,4,71.42857142857143,0.7915695706255609,0.0071489528156063265,0.8026408646881847,0.7871828236824985,0.005069570625560904
cv_first,nan_ind,28+4+2,28,4,2,82.3529411764706,0.7913566153894601,0.005110335009069619,0.795880845373844,0.7909252331381479,0.004856615389460139
cv_first,nan_ind,28+2+4,28,2,4,82.3529411764706,0.7895179575191699,0.005405638331865151,0.7959365598187425,0.7880340490132293,0.0030179575191698893
cv_first,nan_ind,28+8+8,28,8,8,63.63636363636363,0.789742328100644,0.005219157211729458,0.7952735579244512,0.7884515289525048,0.003242328100644065
cv_first,nan_ind,20+8+16,20,8,16,45.45454545454545,0.7901765048574263,0.005288860733503726,0.8020558630167514,0.7857785729776621,0.0036765048574263215
cv_first,masked,28+4+4,28,4,4,77.77777777777777,0.7820550770732628,0.006312172649027184,0.7957787022248636,0.7896077315116028,-0.004444922926737149
cv_first,masked,28+2+2,28,2,2,87.5,0.781755129032766,0.006024416820390157,0.7955725587787393,0.7897175233138148,-0.004744870967233972
cv_first,masked,38+4+4,38,4,4,82.6086956521739,0.7809725874258003,0.005155976543201328,0.7886453961297031,0.7879025699414444,-0.005527412574199642
cv_first,masked,20+4+4,20,4,4,71.42857142857143,0.7809851836689707,0.007508605850463249,0.80198714853471,0.790060453263934,-0.0055148163310292375
cv_first,masked,28+4+2,28,4,2,82.3529411764706,0.7821507297948387,0.006271766341080027,0.7959347026705791,0.7896077315116028,-0.004349270205161293
cv_first,masked,28+2+4,28,2,4,82.3529411764706,0.7815417801640661,0.006548773199026689,0.7952568435909816,0.7897175233138148,-0.004958219835933919
cv_first,masked,28+8+8,28,8,8,63.63636363636363,0.7824841366062573,0.004663249456470412,0.7969914199754855,0.7881817935371938,-0.0040158633937427135
cv_first,masked,20+8+16,20,8,16,45.45454545454545,0.7834182267638677,0.005320105602301097,0.8041024402926865,0.7896497505964,-0.0030817732361322348
cv_first,ccs_rank,28+4+4,28,4,4,77.77777777777777,0.7864728157327077,0.00765578047143627,0.7879991085688814,0.7854925721101713,-2.7184267292312825e-05
cv_first,ccs_rank,28+2+2,28,2,2,87.5,0.7855099903953646,0.008231513133716619,0.7854204583441666,0.7858334688787683,-0.0009900096046353557
cv_first,ccs_rank,38+4+4,38,4,4,82.6086956521739,0.7800804191399916,0.00816292031400152,0.7784979385655387,0.7812926968119713,-0.006419580860008378
cv_first,ccs_rank,20+4+4,20,4,4,71.42857142857143,0.792791012580498,0.006913115346274331,0.7984706384875386,0.7884108653220558,0.006291012580498023
cv_first,ccs_rank,28+4+2,28,4,2,82.3529411764706,0.7862927288186299,0.007860988507817948,0.7875710359172455,0.7854925721101713,-0.00020727118137009448
cv_first,ccs_rank,28+2+4,28,2,4,82.3529411764706,0.7861183495772386,0.00698912053985252,0.786875533930097,0.7858334688787683,-0.0003816504227613926
cv_first,ccs_rank,28+8+8,28,8,8,63.63636363636363,0.7889440411897152,0.006744892072579888,0.7907699736284961,0.7877168726957277,0.002444041189715196
cv_first,ccs_rank,20+8+16,20,8,16,45.45454545454545,0.7949030482908472,0.004978147745159408,0.7992422835493815,0.7915941498590329,0.00840304829084726
