outcome,pair,method,param,k,nfeat,n_selected,mean,sd,vs_late
composite_30d,ehr+ecg,spca,0.25,10.0,292,209.1,0.774479601361592,0.0029630268686951936,-0.06632417405950142
composite_30d,ehr+ecg,spca,0.25,20.0,292,209.1,0.7851931696973798,0.008844411087555959,-0.05561060572371357
composite_30d,ehr+ecg,spca,0.5,5.0,292,242.96666666666667,0.7262169846686625,0.006854805295037691,-0.11458679075243094
composite_30d,ehr+ecg,spca,0.5,10.0,292,242.96666666666667,0.7575757087507746,0.008775060544929297,-0.08322806667031879
composite_30d,ehr+ecg,spca,0.5,20.0,292,242.96666666666667,0.7833048146608533,0.006711586275147109,-0.05749896076024008
composite_30d,ehr+ecg,lol,5.0,5.0,292,,0.7897481011720046,0.0038697615503311567,-0.051055674249088856
composite_30d,ehr+ecg,lol,10.0,10.0,292,,0.8082508654960584,0.0038116944081218853,-0.03255290992503501
composite_30d,ehr+ecg,lol,20.0,20.0,292,,0.8085559239888761,0.0047741341808078515,-0.03224785143221731
composite_30d,ehr+ecg,lol,30.0,30.0,292,,0.8037227877619985,0.007169953703304719,-0.037080987659094955
composite_30d,ecg+ctpa,late_wsrc,,,310,,0.7876191366200164,0.008692542510961842,0.0
composite_30d,ecg+ctpa,early,,,310,,0.7842334170095889,0.005993943618056778,-0.00338571961042744
composite_30d,ecg+ctpa,coop,0.0,,310,,0.7842334170095889,0.005993943618056778,-0.00338571961042744
composite_30d,ecg+ctpa,coop,0.2,,310,,0.7893076998267397,0.005208575067479385,0.0016885632067232814
composite_30d,ecg+ctpa,coop,0.5,,310,,0.7917218511035277,0.0053710339903013235,0.004102714483511294
composite_30d,ecg+ctpa,coop,1.0,,310,,0.7928147983445206,0.005294744796544885,0.0051956617245042525
composite_30d,ecg+ctpa,coop,2.0,,310,,0.7925124252257594,0.00526128286836755,0.004893288605743007
composite_30d,ecg+ctpa,coop,5.0,,310,,0.7818471936229886,0.007123352029148511,-0.005771942997027768
composite_30d,ecg+ctpa,spca,0.05,5.0,310,158.53333333333333,0.7071121594811428,0.002981107227162676,-0.08050697713887356
composite_30d,ecg+ctpa,spca,0.05,10.0,310,158.53333333333333,0.7527688891896506,0.006252563218295637,-0.0348502474303658
composite_30d,ecg+ctpa,spca,0.05,20.0,310,158.53333333333333,0.7578233002387833,0.008488759011884287,-0.029795836381233065
composite_30d,ecg+ctpa,spca,0.1,5.0,310,178.79999999999998,0.706506876168809,0.0022939125490089238,-0.08111226045120734
composite_30d,ecg+ctpa,spca,0.1,10.0,310,178.79999999999998,0.7449523023860086,0.008051769764024658,-0.042666834234007744
composite_30d,ecg+ctpa,spca,0.1,20.0,310,178.79999999999998,0.7574709791625716,0.009539120911999743,-0.030148157457444813
composite_30d,ecg+ctpa,spca,0.25,5.0,310,214.39999999999998,0.7101783195788474,0.0038527017920982013,-0.07744081704116901
composite_30d,ecg+ctpa,spca,0.25,10.0,310,214.39999999999998,0.7334991820350624,0.004166381725304387,-0.054119954584954
composite_30d,ecg+ctpa,spca,0.25,20.0,310,214.39999999999998,0.747631768619578,0.00548489524683922,-0.03998736800043834
composite_30d,ecg+ctpa,spca,0.5,5.0,310,253.96666666666667,0.7162075214104874,0.005534935684802469,-0.07141161520952899
composite_30d,ecg+ctpa,spca,0.5,10.0,310,253.96666666666667,0.7234639391859451,0.007030473863298778,-0.06415519743407128
composite_30d,ecg+ctpa,spca,0.5,20.0,310,253.96666666666667,0.7452691765246748,0.008062780198524779,-0.04234996009534153
composite_30d,ecg+ctpa,lol,5.0,5.0,310,,0.7587089366026151,0.0045400351977201575,-0.0289102000174013
composite_30d,ecg+ctpa,lol,10.0,10.0,310,,0.7784120631299215,0.005678273635679068,-0.009207073490094864
composite_30d,ecg+ctpa,lol,20.0,20.0,310,,0.7856776111771713,0.0050612223106205065,-0.0019415254428450934
composite_30d,ecg+ctpa,lol,30.0,30.0,310,,0.7795898681910999,0.005778033116981571,-0.008029268428916492
cv_first,ehr+ctpa,late_wsrc,,,74,,0.7997321063774466,0.011735614737185675,0.0
cv_first,ehr+ctpa,early,,,74,,0.7888236823533781,0.005505806949110366,-0.010908424024068553
cv_first,ehr+ctpa,coop,0.0,,74,,0.7888236823533781,0.005505806949110366,-0.010908424024068553
cv_first,ehr+ctpa,coop,0.2,,74,,0.7941041736309723,0.006413804873768774,-0.005627932746474329
cv_first,ehr+ctpa,coop,0.5,,74,,0.7945003652391388,0.0061606132969531735,-0.005231741138307822
cv_first,ehr+ctpa,coop,1.0,,74,,0.7953035818197577,0.006061398221373626,-0.00442852455768894
cv_first,ehr+ctpa,coop,2.0,,74,,0.7966206093922173,0.006136973198863445,-0.0031114969852292784
cv_first,ehr+ctpa,coop,5.0,,74,,0.7842458121308917,0.01887174987824322,-0.0154862942465549
cv_first,ehr+ctpa,spca,0.05,5.0,74,23.899999999999995,0.7649469474674689,0.020463980976720808,-0.03478515890997769
cv_first,ehr+ctpa,spca,0.05,10.0,74,23.899999999999995,0.7601818148051852,0.014049775405535871,-0.03955029157226142
cv_first,ehr+ctpa,spca,0.05,20.0,74,23.899999999999995,0.7735764959328454,0.019382437121635145,-0.02615561044460124
cv_first,ehr+ctpa,spca,0.1,5.0,74,30.333333333333332,0.7686086245960704,0.019563603709769315,-0.03112348178137625
cv_first,ehr+ctpa,spca,0.1,10.0,74,30.333333333333332,0.7714005373348685,0.01597072232943815,-0.028331569042578164
cv_first,ehr+ctpa,spca,0.1,20.0,74,30.333333333333332,0.7558685881959663,0.026142006123143827,-0.043863518181480377
cv_first,ehr+ctpa,spca,0.25,5.0,74,40.1,0.7714516089093588,0.01048609798094503,-0.028280497468087806
cv_first,ehr+ctpa,spca,0.25,10.0,74,40.1,0.7707195830083324,0.015468328156525598,-0.029012523369114196
cv_first,ehr+ctpa,spca,0.25,20.0,74,40.1,0.7630139657541878,0.014745850852362467,-0.036718140623258844
